iter	Passed	Remaining
439	1157	1473
440	1159	1469
441	1160	1465
442	1161	1460
443	1162	1455
444	1163	1450
445	1164	1446
446	1166	1442
447	1167	1438
448	1168	1433
449	1169	1429
450	1170	1424
451	1171	1420
452	1172	1416
453	1173	1411
454	1174	1407
455	1175	1402
456	1176	1398
457	1178	1394
458	1179	1389
459	1180	1385
460	1181	1381
461	1182	1376
462	1183	1373
463	1185	1369
464	1186	1365
465	1187	1360
466	1188	1356
467	1191	1354
468	1192	1350
469	1193	1346
470	1194	1341
471	1196	1338
472	1197	1334
473	1198	1330
474	1199	1326
475	1200	1321
476	1202	1318
477	1204	1315
478	1205	1311
479	1207	1307
480	1208	1304
481	1210	1300
482	1211	1296
483	1212	1293
484	1214	1289
485	1216	1286
486	1217	1282
487	1218	1278
488	1220	1275
489	1221	1271
490	1223	1268
491	1224	1264
492	1225	1260
493	1227	1256
494	1228	1253
495	1229	1249
496	1231	1245
497	1232	1242
498	1234	1239
499	1235	1235
500	1236	1231
501	1238	1228
502	1239	1225
503	1241	1221
504	1242	1218
505	1243	1214
506	1245	1211
507	1246	1207
508	1247	1203
509	1249	1200
510	1250	1196
511	1251	1193
512	1253	1190
513	1255	1186
514	1256	1183
515	1257	1179
516	1259	1176
517	1260	1172
518	1261	1168
519	1262	1165
520	1263	1161
521	1265	1158
522	1266	1155
523	1267	1151
524	1268	1148
525	1270	1145
526	1272	1142
527	1274	1139
528	1277	1137
529	1278	1133
530	1279	1130
531	1281	1127
532	1283	1124
533	1284	1121
534	1285	1117
535	1287	1114
536	1289	1111
537	1291	1109
538	1293	1106
539	1295	1103
540	1298	1101
541	1300	1099
542	1302	1096
543	1304	1093
544	1306	1090
545	1308	1088
546	1310	1085
547	1312	1082
548	1314	1079
549	1315	1076
550	1317	1073
551	1319	1070
552	1321	1068
553	1323	1065
554	1325	1062
555	1327	1060
556	1329	1057
557	1332	1055
558	1334	1052
559	1336	1050
560	1338	1047
561	1340	1045
562	1342	1042
563	1344	1039
564	1346	1036
565	1348	1034
566	1350	1031
567	1353	1029
568	1355	1026
569	1357	1024
570	1359	1021
571	1361	1018
572	1364	1016
573	1365	1013
574	1368	1011
575	1370	1008
576	1372	1005
577	1373	1003
578	1375	1000
579	1377	997
580	1379	995
581	1381	992
582	1384	990
583	1386	987
584	1388	984
585	1391	982
586	1393	980
587	1396	978
588	1399	976
589	1401	974
590	1403	971
591	1406	969
592	1408	966
593	1410	963
594	1412	961
595	1415	959
596	1417	957
597	1420	954
598	1422	952
599	1424	949
600	1426	947
601	1429	945
602	1432	943
603	1434	940
604	1438	939
605	1440	936
606	1443	934
607	1445	932
608	1447	929
609	1449	926
610	1452	924
611	1454	921
612	1456	919
613	1459	917
614	1461	914
615	1464	912
616	1467	910
617	1470	908
618	1472	906
619	1475	904
620	1479	902
621	1482	900
622	1485	898
623	1487	896
624	1491	894
625	1494	892
626	1497	890
627	1500	888
628	1503	886
629	1506	884
630	1509	882
631	1512	880
632	1514	878
633	1517	876
634	1520	873
635	1522	871
636	1525	869
637	1527	866
638	1530	864
639	1533	862
640	1536	860
641	1538	857
642	1540	855
643	1544	853
644	1546	850
645	1548	848
646	1551	846
647	1553	843
648	1555	841
649	1558	838
650	1560	836
651	1562	834
652	1565	831
653	1567	829
654	1570	827
655	1573	824
656	1576	822
657	1579	820
658	1581	818
659	1584	816
660	1586	813
661	1588	811
662	1590	808
663	1592	806
664	1595	803
665	1597	801
666	1600	799
667	1601	796
668	1603	793
669	1606	791
670	1608	788
671	1612	787
672	1615	784
673	1618	782
674	1622	780
675	1625	778
676	1627	776
677	1630	774
678	1634	772
679	1637	770
680	1640	768
681	1643	766
682	1647	764
683	1651	762
684	1654	760
685	1657	758
686	1660	756
687	1662	753
688	1664	751
689	1667	748
690	1669	746
691	1671	744
692	1674	741
693	1677	739
694	1680	737
695	1682	734
696	1684	732
697	1686	729
698	1688	727
699	1691	724
700	1693	722
701	1695	719
702	1697	717
703	1699	714
704	1701	711
705	1703	709
706	1706	707
707	1708	704
708	1711	702
709	1713	699
710	1715	697
711	1717	694
712	1719	692
713	1721	689
714	1723	686
715	1725	684
716	1728	682
717	1731	679
718	1733	677
719	1735	675
720	1737	672
721	1739	669
722	1741	667
723	1744	664
724	1746	662
725	1748	660
726	1750	657
727	1753	655
728	1756	652
729	1758	650
730	1761	648
731	1763	645
732	1766	643
733	1768	640
734	1770	638
735	1772	635
736	1774	633
737	1776	630
738	1779	628
739	1780	625
740	1782	623
741	1784	620
742	1787	618
743	1789	615
744	1792	613
745	1793	610
746	1795	608
747	1797	605
748	1800	603
749	1802	600
750	1804	598
751	1805	595
752	1807	592
753	1808	590
754	1810	587
755	1812	584
756	1813	582
757	1815	579
758	1817	577
759	1819	574
760	1821	571
761	1823	569
762	1825	567
763	1827	564
764	1829	562
765	1831	559
766	1832	556
767	1834	554
768	1836	551
769	1838	549
770	1839	546
771	1841	543
772	1843	541
773	1845	538
774	1847	536
775	1849	533
776	1851	531
777	1853	528
778	1855	526
779	1857	523
780	1859	521
781	1861	518
782	1863	516
783	1865	513
784	1867	511
785	1868	508
786	1870	506
787	1872	503
788	1874	501
789	1876	498
790	1878	496
791	1880	493
792	1882	491
793	1884	488
794	1886	486
795	1888	483
796	1890	481
797	1892	478
798	1893	476
799	1895	473
800	1897	471
801	1899	468
802	1901	466
803	1903	464
804	1905	461
805	1907	459
806	1910	456
807	1912	454
808	1915	452
809	1917	449
810	1919	447
811	1919	444
812	1922	442
813	1925	439
814	1926	437
815	1928	434
816	1931	432
817	1932	430
818	1935	427
